id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy,price_per_sqm,price_per_room,flat_cat,cat,egid,ren_potential,LR_DAY,LR_NIGHT,ES,COMM_USE_D,EXP_LIM_D,EXP_LIM_N,EXP_LIM,noise_below,quartier_nummer,quartier_kreis,quartier_quartiergr,quartier_statistisc,supermarketsnearby,leisurelocationsnearby,othershopsnearby,smallestdistancetonextoev,distancetomainstation,altitude,distancetonightclubs
3001416181,108405.01.00205,rent,2021-10-12 20:14:53,,2,1040,,,,75,1955.0,Stationsweg 6,St. Gallen,9014,47.4076118469238,9.32946395874023,POINT (9.329463958740234 47.40761184692383),1068994,0.0,13.866666666666667,260.0,M,b,1068994,False,55.0,47.0,ES II,Wohnen,≤PW,">PW, ≤IGW",">PW, ≤IGW",False,109,Westen,Bruggen,Bruggen-Zürcherstrasse,0,4,3,42.338359271178206,3472.1775721325093,658,4160.81029438853
3001416434,897196.c55a8212-2b63-11ec-842e-005056bdbc06,rent,2021-10-12 19:09:00,,2,300,,,,212,2019.0,Girtannerstrasse 19,St. Gallen,9010,47.4355659484863,9.37706089019775,POINT (9.377060890197754 47.43556594848633),191675694,0.0093457943925233,1.4150943396226414,60.0,L,a,191675694,False,,,,,,,,True,207,Centrum,St.Jakob,St.Jakob,0,6,11,1239.5543828302111,1509.7839832270718,742,1048.2292358631412
3001416435,897195.aaed9764-2b58-11ec-842e-005056bdbc06,rent,2021-10-12 19:09:00,,2,4400,4100.0,300.0,,212,2019.0,Girtannerstrasse 19,St. Gallen,9010,47.4355659484863,9.37706089019775,POINT (9.377060890197754 47.43556594848633),191675694,0.0093457943925233,20.75471698113208,880.0,L,f,191675694,False,,,,,,,,True,207,Centrum,St.Jakob,St.Jakob,0,6,11,1239.5543828302111,1509.7839832270718,742,1048.2292358631412
3001416436,897194.5c21c271-2b57-11ec-842e-005056bdbc06,rent,2021-10-12 19:09:00,,2,300,,,,212,2019.0,Girtannerstrasse 19,St. Gallen,9010,47.4355659484863,9.37706089019775,POINT (9.377060890197754 47.43556594848633),191675694,0.0093457943925233,1.4150943396226414,60.0,L,a,191675694,False,,,,,,,,True,207,Centrum,St.Jakob,St.Jakob,0,6,11,1239.5543828302111,1509.7839832270718,742,1048.2292358631412
3001416883,5590.03.0033,rent,2021-10-12 19:05:00,,GF,650,125.0,525.0,,25,1964.0,Stauffacherstrasse 7,St. Gallen,9000,47.4234428405762,9.36355876922607,POINT (9.363558769226074 47.42344284057617),1071176,0.56140350877193,26.0,325.0,S,c,1071176,True,51.0,44.0,ES II,Wohnen,≤PW,≤PW,≤PW,True,202,Centrum,Rosenberg,Rosenberg-Kreubleiche,0,6,5,426.8501835677734,451.85390634328115,730,1084.3596790305814
3001418295,bh92m.917yy,rent,2021-10-13 09:14:03,,5,1600,,,,65,,St. Leonhard-Strasse 79,St. Gallen,9000,47.4210205078125,9.36458396911621,POINT (9.364583969116211 47.4210205078125),1071080,0.1875,24.615384615384617,400.0,M,c,1071080,False,69.0,62.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,202,Centrum,Rosenberg,Rosenberg-Kreubleiche,3,8,12,353.42312973681663,431.39624251204935,674,1120.1312557252934
3001401467,7788.06.0302,rent,2021-10-12 19:54:48,,3,1685,,,,110,1994.0,St. Georgenstr. 210a,St. Gallen,9011,,,POINT(9.39814048881141 47.4141926855635),2363979,0.0,15.318181818181818,421.25,M,c,2363979,False,,,,,,,,True,210,Centrum,St.Georgen,Stuelegg-Rüti,0,0,0,,,,
3001109031,1310.03.3032,rent,2021-10-12 19:52:22,,3,1445,,,,82,2010.0,Zürcherstrasse 84,St. Gallen,9000,,,POINT(9.34881472636019 47.4169799562494),190307251,0.136842105263158,17.621951219512194,361.25,M,c,190307251,False,68.0,60.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,113,Westen,Lachen,Vonwil-Lachen-Schoren,0,0,0,,,,
3001187230,10018.82.1001,rent,2021-10-12 20:46:52,,GF,1450,250.0,1200.0,,73,1945.0,Zürcherstrasse 82,St. Gallen,9000,,,POINT(9.34905511136847 47.4170299629809),1070313,0.0266666666666666,19.863013698630137,362.5,M,c,1070313,False,68.0,60.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,113,Westen,Lachen,Vonwil-Lachen-Schoren,0,0,0,,,,
3001425963,0455.02.0001,rent,2021-10-15 19:20:34,,GF,1390,250.0,1140.0,,72,1954.0,Iddastrasse 41,St. Gallen,9008,47.4391632080078,9.38868999481201,POINT (9.388689994812012 47.43916320800781),1075270,0.107692307692308,19.30555555555556,463.3333333333333,M,d,1075270,False,,,,,,,,True,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz,3,6,3,630.5629523837473,2308.0301547379586,677,1680.9895237599335
